Region,Country,iso3,year,lifeExpectancy,dentists,medics,nursesMid
European Union,Slovenia,SVN,2001,75.8,5.92,21.74,71.34
Africa,Burundi,BDI,2010,57.2,0,0.45,6.37
European Union,Netherlands,NLD,2003,78.5,4.01,25.94,79.31
European Union,Bulgaria,BGR,2013,74.9,9.72,39.53,49.19
South America,Chile,CHL,2011,79,5.9,15.75,15.27
Middle East,Yemen Rep ,YEM,2004,62.9,0.22,3.05,6.03
Central America and Caribbean,Jamaica,JAM,2015,74.1,0.13,4.28,14.97
Asia,Sri Lanka,LKA,2014,76.1,0.63,8.07,18.46
Asia,Japan,JPN,2010,82.8,7.7,22.12,103.03
North America,United States,USA,2000,76.6,4.77,23,101.93
European Union,France,FRA,2013,82.2,6.53,31.56,87.84
Asia,Sri Lanka,LKA,2015,76.3,0.63,8.3,18.87
Asia,Afghanistan,AFG,2008,59.9,0.14,1.83,5.2
Africa,Kenya,KEN,2012,62.7,0.22,1.84,14.07
Rest of Europe,Iceland,ISL,2005,81.5,9.74,36.12,147.51
Central America and Caribbean,Bahamas The,BHS,2008,72,2.21,26.45,38.84
Middle East,Saudi Arabia,SAU,2015,74.7,4.5,24.44,57.54
South America,Brazil,BRA,2000,70.1,8.82,NA,37.88
European Union,Sweden,SWE,2009,81.4,8.08,37.49,115.35
Central America and Caribbean,Haiti,HTI,2013,61.7,0.1,2.34,NA
Asia,Mongolia,MNG,2010,67.4,1.97,27.75,36.56
Rest of Europe,Serbia,SRB,2014,75.3,3.2,30.3,62.05
Asia,Kyrgyz Republic,KGZ,2015,70.7,1.7,18.46,48.1
Asia,Malaysia,MYS,2010,74.5,1.33,11.51,32.37
European Union,Latvia,LVA,2010,73.5,7.09,31.07,52.06
Asia,India,IND,2012,67.5,0.95,6.91,18.33
Central America and Caribbean,Cuba,CUB,2009,78.3,10.25,66.3,94.24
European Union,Denmark,DNK,2012,80.1,7.97,38.37,102.66
Rest of Europe,Montenegro,MNE,2007,74.3,3.92,19.47,53.54
Rest of Europe,Ukraine,UKR,2002,68.3,4.5,29.76,64.65
European Union,France,FRA,2011,82.1,6.49,31.24,87.47
Asia,Tajikistan,TJK,2005,66.1,1.43,19.17,33.96
European Union,Austria,AUT,2008,80.4,5.65,46.08,65.77
Africa,Botswana,BWA,2007,55,0.17,3.71,30.16
Africa,Cameroon,CMR,2005,52.8,0.02,0.61,3.93
Middle East,Oman,OMN,2010,75.7,2.37,21.26,46.66
North America,Canada,CAN,2003,79.7,5.72,NA,84.68
European Union,Lithuania,LTU,2013,73.9,9.05,42.76,78.51
Central America and Caribbean,Trinidad and Tobago,TTO,2003,70.2,1.86,7.75,29.73
Asia,India,IND,2010,66.7,0.92,6.65,15.24
European Union,Austria,AUT,2003,78.6,4.97,41.44,58.87
European Union,Lithuania,LTU,2014,74.5,9.1,43.06,79.07
European Union,Austria,AUT,2009,80.3,5.74,47.02,66.95
Asia,Afghanistan,AFG,2006,58.8,0.13,1.66,4.58
Asia,Indonesia,IDN,2015,70.8,0.49,2.7,12.82
Asia,Brunei Darussalam,BRN,2000,73.1,1.47,10.29,39.71
Rest of Europe,Ukraine,UKR,2000,67.7,4.51,29.86,65
European Union,Germany,DEU,2010,80,8.22,37.57,102.44
Africa,South Africa,ZAF,2013,61.1,1.06,7.29,11.67
Asia,Uzbekistan,UZB,2000,67.2,2.06,29.61,108.95
Africa,Niger,NER,2015,60.6,0.02,0.32,2.05
European Union,Lithuania,LTU,2000,72,6.85,36.26,80.23
Africa,Morocco,MAR,2006,72.4,1.13,5.94,NA
European Union,Croatia,HRV,2012,76.9,7.57,29.99,60.73
European Union,Cyprus,CYP,2007,78.9,6.74,19.74,34.34
Rest of Europe,Norway,NOR,2014,82.1,8.66,44.29,174.42
Asia,Malaysia,MYS,2000,72.6,0.93,6.8,20.49
Middle East,Kuwait,KWT,2006,73.7,4.37,22.76,49.55
European Union,Denmark,DNK,2002,76.9,8.52,30.37,96.88
Central America and Caribbean,Honduras,HND,2000,70.7,1.74,5.59,12.97
Rest of Europe,Serbia,SRB,2012,74.8,3.36,30.47,62.14
European Union,Estonia,EST,2011,76.2,8.88,32.94,65.27
Africa,Uganda,UGA,2015,61.4,0.07,0.97,15.85
Asia,Azerbaijan,AZE,2000,66.8,2.73,35.52,86.06
Central America and Caribbean,Cuba,CUB,2011,78.4,11.32,69.57,85.32
Rest of Europe,Moldova,MDA,2007,68.3,3.99,26.2,60.56
Rest of Europe,Iceland,ISL,2001,80.7,10,34.73,139.04
Asia,Bangladesh,BGD,2015,71.5,0.41,4.76,2.6
Asia,Lao PDR,LAO,2014,66.1,0.51,3.77,12.67
European Union,Croatia,HRV,2013,77.1,7.6,30.42,62.26
European Union,Slovenia,SVN,2000,75.4,5.83,21.54,68.62
Asia,Azerbaijan,AZE,2011,71.2,2.59,33.97,68.77
Central America and Caribbean,Jamaica,JAM,2013,74,0.13,4.8,14.74
Africa,Mauritius,MUS,2008,72.6,1.84,11.38,26.68
Asia,Pakistan,PAK,2011,65.6,0.57,7.48,3.81
Asia,Japan,JPN,2012,83.1,7.79,22.83,107.31
European Union,Ireland,IRL,2002,77.6,5.35,24.04,152.95
